Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;;;;;;;;;;;;;;;;;;;;;;
5141324019-00;DADO ESAG. MEDIO A2K M24-6;26;HEXAGONAL NUT MEDIUM A2K M24-6;30;;;;;;;;;;;;;;;;;;;;;
5145124015-00;DADO ESAG. MEDIO A2K M24x1,5-6;30;HEXAGONAL NUT MEDIUM A2K M24x1,5-6;34;;;;;;;;;;;;;;;;;;;;;
5145124020-00;DADO ESAG. MEDIO A2K M24x2-6;28;HEXAGONAL NUT MEDIUM A2K M24x2-6;32;;;;;;;;;;;;;;;;;;;;;
5145330020-00;DADO ESAG. MEDIO A2K M30x2-6;28;HEXAGONAL NUT MEDIUM A2K M30x2-6;32;;;;;;;;;;;;;;;;;;;;;
5141336029-00;DADO ESAG. MEDIO A2K M36-6;26;HEXAGONAL NUT MEDIUM A2K M36-6;30;;;;;;;;;;;;;;;;;;;;;
5141339031-00;DADO ESAG. MEDIO A2K M39-6;26;HEXAGONAL NUT MEDIUM A2K M39-6;30;;;;;;;;;;;;;;;;;;;;;
5141304003-00;DADO ESAG. MEDIO A2K M4-6;25;HEXAGONAL NUT MEDIUM A2K M4-6;29;;;;;;;;;;;;;;;;;;;;;
5141342034-00;DADO ESAG. MEDIO A2K M42x3-6;28;HEXAGONAL NUT MEDIUM A2K M42x3-6;32;;;;;;;;;;;;;;;;;;;;;
5141305004-00;DADO ESAG. MEDIO A2K M5-6;25;HEXAGONAL NUT MEDIUM A2K M5-6;29;;;;;;;;;;;;;;;;;;;;;
5141306005-00;DADO ESAG. MEDIO A2K M6-6;25;HEXAGONAL NUT MEDIUM A2K M6-6;29;;;;;;;;;;;;;;;;;;;;;
5141608006-00;DADO ESAG. MEDIO A2K M8-4;25;HEXAGONAL NUT MEDIUM A2K M8-4;29;;;;;;;;;;;;;;;;;;;;;
5141308006-00;DADO ESAG. MEDIO A2K M8-6;25;HEXAGONAL NUT MEDIUM A2K M8-6;29;;;;;;;;;;;;;;;;;;;;;
5140505004-00;DADO ESAG. MEDIO CW508L M5;26;HEXAGONAL NUT MEDIUM CW508L M5;30;;;;;;;;;;;;;;;;;;;;;
5140506005-00;DADO ESAG. MEDIO CW508L M6;26;HEXAGONAL NUT MEDIUM CW508L M6;30;;;;;;;;;;;;;;;;;;;;;
5140508006-00;DADO ESAG. MEDIO CW508L M8;26;HEXAGONAL NUT MEDIUM CW508L M8;30;;;;;;;;;;;;;;;;;;;;;
5140308024-00;DADO ESAG. PROLUNGATO A2K M8x24-10;34;HEXAGON CONNECTION NUT A2K M8x24-10;35;;;;;;;;;;;;;;;;;;;;;
5162306008-00;DADO M10 SOSTITUITO DA 5162003008-00;36;NUT M10 REPLACED 5162003008-00;30;;;;;;;;;;;;;;;;;;;;;
5162306010-00;DADO M10 SOSTITUITO DA 5162003010-00;36;NUT M10 REPLACED 5162003010-00;30;;;;;;;;;;;;;;;;;;;;;
5162306012-00;DADO M12 SOSTITUITO DA 5162001012-00;36;NUT M12 REPLACED 5162001012-00;30;;;;;;;;;;;;;;;;;;;;;
