Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;
5004410105-00;CUSCINETTO ANELLO SOTTILE KMF PBXA 105;38;THIN RING BEARING KMF PBXA 105;30
5004410115-00;CUSCINETTO ANELLO SOTTILE KMF PBXA 115;38;THIN RING BEARING KMF PBXA 115;30
5004410370-00;CUSCINETTO ANELLO SOTTILE KMF PBXU 370;38;THIN RING BEARING.KMF PBXU 370;30
5004412400-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0400;38;BEARING ELEMENTS FRANKE LEL 0400;32
5004468534-00;CUSCINETTO IN ELEMENTI FRANKE LEL4-0520;39;BEARING ELEMENTS FRANKE LEL4-0520;33
5004468646-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0570;38;BEARING ELEMENTS FRANKE LEL 0570;32
5004468665-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0760;38;BEARING ELEMENTS FRANKE LEL 0760;32
5004471121-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0440;38;BEARING ELEMENTS FRANKE LEL 0440;32
5004471123-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0450;38;BEARING ELEMENTS FRANKE LEL 0450;32
5004471131-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0490;38;BEARING ELEMENTS FRANKE LEL 0490;32
5004471139-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0530;38;BEARING ELEMENTS FRANKE LEL 0530;32
5004471140-00;ANELLO ESTERNO FRANKE LEE 0530;30;OUTER RING FRANKE LEE 0530;26
5004471215-00;CUSCINETTO IN ELEMENTI FRANKE LEL 0920;38;BEARING ELEMENTS FRANKE LEL 0920;32
5004471225-00;CUSCINETTO IN ELEMENTI FRANKE LEL 1020;38;BEARING ELEMENTS FRANKE LEL 1020;32
5004471231-00;CUSCINETTO IN ELEMENTI FRANKE LEL 1080;38;BEARING ELEMENTS FRANKE LEL 1080;32
